,year,title,authors,country,location,study_area,rewilding_area,area_certain,area_all,m_e,keywords,interest,social-subgroup,control,sites,duration,methods_named,methods,response_variables_named,response_variables,social-subgroup-ev,notes
243,2024,Rewilding by large ungulates contributes to organic carbon storage in soils,"Kaštovská, E., Mastný, J. Konvička, M.",Czech Republic,"8 x locations:
50.24N 14.88E
50.28N 14.88E
49.66N 13.31E
50.34N 15.94E
48.81N 15.99E
48.84N 15.98E
49.72N 13.59E
49.90N 18.13E",572,NA,572,572,E,"Rewilding
Large herbivores
Ecosystem services
Soil fertility
Water retention capacity
Soil C sequestration","Mammals
Abiotic",NA,YES,8,1,Soil samples,Fieldwork,"Soil dry weight
Soil bulk density
% clay
pH
Index WSA
Soil water retention capacity
Differences in soil physicochemical properties:
Soil C stock
Soil N stock
Soil P stock
Soil C/N/P ratios
Soluble C
Soluble N
Soluble reactive P
Microbial C
Microbial N
Microbial C/N ratio
Net nitrification rate
Respiration rate
Portion of fine particles","Abiotic
Ecosystem",NA,"Duration = grazing of sites between 2 and 6 years
Area = ranging from ~30 to ~250 ha 
Control = ungrazed, mostly mown, plots in close proximity"
246,2024,Long-term vegetation trajectories to inform nature recovery strategies: The Greater Côa Valley as a case study,"Elphick, A., Ockendon, N., Aliácar, S., Crowson, M. Pettorelli, N.",Portugal,Greater Coa Valley,318000,NA,318000,318000,ME,"Restoration
Rewilding
Satellite remote sensing
Land cover
Environmental monitoring
Baselines",Plants,NA,NO,4,16,"Satellite imagery
Land cover classification",Remote sensing,"Land cover classifications
% area coverage
NVDI",Habitat structure,NA,"Duration = comparison of satellite data from 2006 with 2022
Sites = slightly complicated - very large region (GCV), with 3 smaller sites nested within, owned by Rewilding Portugal
Control = not explicit. Different land treatments within the area but not in design of study"
251,2015,Rewilding: Pitfalls and opportunities for moths and butterflies,"Merckx, T. (CHAPTER IN BOOK)",Portugal,Peneda mountain range NW-Portugal,NA,NA,NA,NA,E,"Farmland abandonment
Habitat resource heterogeneity
Spatial scale
Controlled Rewilding
Lepidoptera",Invertebrates,NA,YES,1,2,Moth light traps,Fieldwork,Species richness,Diversity,NA,"Book chapter, rather than traditional journal article - case study: 6.7 A Case Study: Farmland Abandonment in Peneda
and Its Effects on Macro-moths
Control = comparison of different land-use cover types"
276,2024,Evaluating the success of vegetation restoration in rewilded salt marshes,"Carneiro, I., Carrasco, A.R., Didderen, K. Sousa, A.I.",Portugal,"Ria Formosa coastal lagoon, south of Portugal",NA,78000,NA,78000,E,"3D artificial structures
Pioneer plants
Recovery
Sediment grain-size
Topography
Vegetation transplant",Plants,NA,YES,1,1,"Transplant experiment
Surveys
Photography
Sediment cores","Experiment
Fieldwork","Vegetation biomass
Site phytosociology
Adjustment after transplantation
Shoot height
Shoot density
Plant coverage
Sediment properties:
Grain size
Dry bulk density
Organic matter
Carbon content
Sediment deposition patterns","Habitat structure
Abiotic",NA,"Control = “transplants were conducted in three plots, with one designated for each plant species and the third one serving as the control.”"
288,2020,"Assessing the effects of habitat management practices on vocalizing animals using passive acoustic monitoring.
Specifically: Effects of Different Habitats Created by Rewilding on Bat and Bird Activity and Diversity","Beason, R.",UK,"Knepp Castle Estate	 West Sussex
(51.0° N 0.4° W).",470,1400,470,470,E,NA,"Mammals
Birds",NA,NO,1,1,"Passive acoustic monitoring
Site characteristic surveys","Wildlife tracking
Fieldwork","Bat activity
Bat and bird activity by habitat type
Bat passes per night
Shannon diversity
Distance to water
Acoustic complexity index
Bioacoustic index","Behaviour
Diversity
Habitat structure",NA,Size = southerm block (470 ha) where all surveys were performed
A,2021,"The response of plants, carabid beetles and birds to 30 years ofnative reforestation in the Scottish Highlands","Warner, E., Hector, A., Brown, N., Green, R., Savory, A., Gilbert, D., McDonnell, A. Lewis, O.T.,",UK,"Scotland
Glen Affric (57°12′50″N, 05°13′48″W to 57°17′15″N, 004°56′04″W)
Glen Moriston (57°12′28″N,004°50′54″W to 57°13′23″N, 004°43′32″W",1205.65,NA,1205.65,1205.65,E,"Biodiversity
Birds
Carabid beetles
Forest expansion
Native reforestation
Plants
ScottishHighlands","Plants
Invertebrates
Birds",NA,YES,14,1,"Plant surveys
Carabid beetle surveys
Bird surveys",Fieldwork,"Plant, carabid, and bird:
Species richness
Specialist richness
Species assemblage comparisons",Diversity,NA,"Sites = 14 fenced and reforested sites in study
Control: “Biodiversity in ungrazed, reforested sites was compared to unforested controls and mature native forest, both grazed and ungrazed”
Found by looking at thesis found in initial search"
B,2022,Does restoring native forest restore ecosystem functioning? Evidence from a large‐scale reforestation project in the Scottish Highlands,"Warner, E., Lewis, O.T., Brown, N., Green, R., McDonnell, A., Gilbert, D. Hector, A.",UK,"Scotland
Glen Affric (57°12′50″N, 05°13′48″W to 57°17′15″N, 004°56′04″W)
Glen Moriston (57°12′28″N,004°50′54″W to 57°13′23″N, 004°43′32″W",1205.65,NA,1205.65,1205.65,E,"Ecosystem functioning
Forest expansion
Forest restoration
Reforestation
Soil carbon","Abiotic
Plants",NA,YES,14,1,"Plant surveys
Soil samples
Tea bag decomposition experiment
Soil faunal feeding","Fieldwork
Experiment","Aboveground tree carbon
Topsoil carbon
Topsoil nitrogen
Decomposition
Soil invertebrate feeding
Seedling regeneration
Ground layer height
Moss depth","Habitat structure
Abiotic
Ecosystem",NA,"Control = comparison of grazed and ungrazed
Found by looking at thesis found in initial search"
C,2024,Monitoring the rewilding of the Brazilian Atlantic Forest on tree and mammal diversity: From a biodiversity hotspot to a biodiversity hopespot,"Merelli, P., Clemente, L.O. Gatti, R.C.",Brazil,Iracambi Research and Conservation Center,500,NA,500,500,E,"Atlantic forest 
Rewilding
Biodiversity hotspot Reforestation
Biodiversity recovery
Ecosystem restoration","Plants
Mammals",NA,YES,1,1,"Forest plots
Camera traps","Fieldwork
Wildlife tracking","Rank-abundance
Tree species richness
Tree biomass
Mammal species richness
Shannon index 
Simpson index
Absolute effective diversity","Diversity
Habitat structure",NA,"Control = “a naturally disturbed montane forest in the area was included as a control category for the disturbance analysis” “compared the efficiency of three restoration practices: reforestation with exotic species (Eucalyptus), reforestation with a mix of native pioneer and secondary species, and natural regeneration.”"
D,2024,"Time to independence and predator-prey relationships of wild-born, captive-raised cheetahs released into private reserves in Namibia","Marker, L., Schmidt‐Küntzel, A., Walker, E.H., Nghikembua, M. Cristescu, B.",Namibia,"Erindi Private Game Reserve
NamibRand Nature Reserve
Bellebenno Game Camp",255050,NA,NA,255050,E,"Acinonyx jubatus
Carnivore translocation
Post-release monitoring
Prey preference
Trophic rewilding",Mammals,NA,NO,3,1,"GPS wildlife tracking
Field observations","Fieldwork
Wildlife tracking","Release success
Time to independence
Prey composition
Prey preference
Hunting success
Habitat use",Species,NA,"Sites = 3 private reserves for releases
area = 3 reserves (36.5km2 + 790km2 + 1724km2) = 255050ha"
E,2024,Rewilding landscapes with apex predators: cheetah (Acinonyx jubatus) movements reveal the importance of environmental and individual contexts,"Dimbleby, J., Cristescu, B., Bandyopadhyay, K., Rooney, N.J. Marker, L.",Namibia,"Central Plateau of Namibia (Lat -20.4839°, Long 17.0317°;",1370,57700,1370,1370,M,"Behavioural adjustments
Bush encroachment
Ecosystem restoration
Large carnivore
Movement ecology
Restoration ecology
Translocation
Wildlife rehabilitation",Mammals,NA,NO,1,11,"GPS radio collars
Driven transects","Fieldwork
Wildlife tracking","Step length
Movement metrics
Prey density
Daily distance travelled","Species
Distribution",NA,
